Channel,Score,Time Window
Fp1,0.5915441176470588,"(0, 1000)"
Fp2,0.5979779411764706,"(250, 910)"
AF7,0.5988970588235294,"(160, 890)"
F7,0.6040441176470588,"(250, 840)"
AF8,0.6075367647058824,"(310, 860)"
AF3,0.6082720588235294,"(240, 490)"
AF4,0.6090073529411765,"(240, 470)"
F5,0.6108455882352941,"(250, 450)"
F3,0.6150735294117647,"(240, 490)"
F1,0.6172794117647059,"(380, 470)"
F6,0.61875,"(110, 840)"
F8,0.6213235294117647,"(130, 470)"
Fz,0.6238970588235294,"(380, 450)"
F4,0.6257352941176471,"(220, 510)"
O1,0.6259191176470589,"(380, 450)"
O2,0.6266544117647059,"(350, 470)"
F2,0.6268382352941176,"(400, 470)"
FT7,0.6270220588235295,"(240, 470)"
C5,0.6283088235294118,"(380, 450)"
FC3,0.6286764705882353,"(240, 450)"
T7,0.6303308823529412,"(180, 470)"
FC1,0.6308823529411764,"(380, 450)"
FC5,0.6334558823529411,"(180, 470)"
FT8,0.633639705882353,"(160, 560)"
FCz,0.6358455882352941,"(380, 450)"
P08,0.6358455882352941,"(180, 470)"
FC6,0.6360294117647058,"(380, 470)"
CP5,0.6363970588235294,"(380, 470)"
TP7,0.6367647058823529,"(200, 470)"
T8,0.6386029411764705,"(200, 490)"
FC2,0.6395220588235294,"(360, 430)"
P8,0.6398897058823529,"(180, 470)"
C3,0.6404411764705882,"(380, 470)"
TP8,0.6413602941176471,"(180, 540)"
FC4,0.6422794117647059,"(360, 560)"
P7,0.6457720588235294,"(180, 450)"
C6,0.6466911764705883,"(380, 510)"
Cz,0.6488970588235294,"(360, 430)"
C1,0.6494485294117647,"(380, 450)"
P5,0.6507352941176471,"(70, 450)"
C2,0.6512867647058823,"(380, 430)"
C4,0.6514705882352941,"(0, 490)"
PO7,0.6523897058823529,"(180, 510)"
POz,0.6536764705882353,"(180, 450)"
P6,0.6545955882352941,"(180, 450)"
CP3,0.6547794117647059,"(140, 430)"
P3,0.6549632352941176,"(160, 470)"
CP6,0.6555147058823529,"(30, 490)"
CP1,0.65625,"(0, 520)"
CPz,0.6588235294117647,"(350, 490)"
CP2,0.6597426470588236,"(160, 540)"
CP4,0.6604779411764706,"(0, 520)"
P4,0.665625,"(160, 490)"
Pz,0.6674632352941177,"(90, 490)"
P1,0.6689338235294118,"(160, 490)"
P2,0.6709558823529411,"(70, 490)"
